ds,yhat,yhat_lower,yhat_upper
2025-01-01,41400.847636872364,41400.847634257,41400.847639437015
2025-01-02,42881.497491520815,42881.49748910208,42881.497494030664
2025-01-03,45076.747347344244,45076.74734487773,45076.74734979919
2025-01-04,45395.69719852378,45395.69719607102,45395.697200917086
2025-01-05,45741.09705836263,45741.097055885024,45741.097060845066
2025-01-06,46085.79693332682,46085.79693086312,46085.79693562763
2025-01-07,46420.896830459664,46420.89682807906,46420.89683317079
2025-01-08,46744.99675620329,46744.99675372552,46744.99675862272
2025-01-09,47069.996714826455,47069.996712361324,47069.99671718589
2025-01-10,47409.99670973676,47409.99670709205,47409.99671221016
2025-01-11,47769.99674291749,47769.996740592076,47769.996745247896
2025-01-12,48129.996814538914,48129.99681199474,48129.99681688023
2025-01-13,48489.99692354689,48489.99692110476,48489.99692594667
2025-01-14,48849.99706722841,48849.99706470288,48849.99706974448
2025-01-15,49209.99724160158,49209.99723915262,49209.997244009515
2025-01-16,49569.99744139207,49569.99743889867,49569.99744388115
2025-01-17,49929.99765987194,49929.9976574573,49929.99766230198
2025-01-18,50289.99788934974,50289.99788684153,50289.99789185212
2025-01-19,50649.998120879514,50649.99811835684,50649.99812340785
2025-01-20,51009.99834492895,51009.99834257517,51009.99834738478
2025-01-21,51369.99855210063,51369.99854964975,51369.998554540594
2025-01-22,51729.998732630294,51729.998730138126,51729.99873526332
2025-01-23,52089.99887714781,52089.99887485256,52089.99887942786
2025-01-24,52449.99897687623,52449.99897457055,52449.998979342796
2025-01-25,52809.99902348843,52809.99902094094,52809.999026050944
2025-01-26,53169.999009672676,53169.99900718362,53169.999012230415
2025-01-27,53529.99892955353,53529.99892703833,53529.99893193897
2025-01-28,53889.99877878497,53889.99877624722,53889.998781336784
2025-01-29,54249.99855495577,54249.99855241441,54249.99855756364
2025-01-30,54609.998257318824,54609.998254811406,54609.99825966655
2025-01-31,55014.26905846519,54924.294887298885,55092.35850137144
2025-02-01,55502.657677619354,55215.952928523846,55763.485941883075
2025-02-02,56147.74975128597,55570.86897322004,56684.3551959234
2025-02-03,57048.94924628115,56180.09826597721,57896.80354402873
2025-02-04,58333.68506318169,57099.00882395966,59532.90343451914
2025-02-05,60158.31852314464,58539.94480937281,61830.30375056962
2025-02-06,62707.7798998588,60705.5064409621,64856.13277541037
2025-02-07,66238.05964611888,63718.44630959721,68847.38201256943
2025-02-08,71024.21847808645,67988.85347806678,74224.20674093327
2025-02-09,77392.69882510396,73789.86930728785,81232.7231287814
2025-02-10,85709.01111409008,81612.77246500245,90052.80973570938
2025-02-11,96371.08537068967,91637.11594228644,101208.55029129778
2025-02-12,109801.00509980573,104477.13591745553,115121.42586119208
2025-02-13,126434.35757041974,120560.3329637675,132399.47753943206
2025-02-14,146751.59121938908,140303.9693734752,153423.99737027325
2025-02-15,171214.36267205264,164123.2701426129,178592.00388527452
2025-02-16,200286.01940458722,192417.8701927481,208311.5694882602
2025-02-17,234407.6902174988,225751.19340280542,242937.7273440718
2025-02-18,273980.69609641965,264570.033690738,283333.4063766251
2025-02-19,319348.4307806167,308996.83795962244,329355.47560328495
2025-02-20,370777.3735633445,359320.55521352944,381381.0864623936
2025-02-21,428482.0348160985,416266.33528164076,439915.6627981621
2025-02-22,492557.1929367508,479366.56547246524,504705.41560533224
2025-02-23,562996.8969862146,548861.345126759,575826.0702954865
2025-02-24,639671.9738234176,624585.6349516384,653109.9342636648
2025-02-25,722316.9450750642,706277.3124988751,736576.2365106468
2025-02-26,810519.6117446248,793581.2787949672,825641.8586521851
2025-02-27,903712.9849231658,885784.9575366102,919727.810275694
2025-02-28,1001214.2808163738,982552.9341665941,1018094.063265316
2025-03-01,1102174.155485279,1082672.2450853568,1119993.9917434107
2025-03-02,1205615.3694420832,1185023.9852330333,1224263.920044899
2025-03-03,1310432.2393726113,1288496.5883278467,1330228.7682343042
2025-03-04,1415401.3099339262,1392373.2831502892,1436222.8580964063
2025-03-05,1519195.9498173897,1495307.3606906037,1540878.345815782
2025-03-06,1620403.9283582256,1595508.0593984344,1642995.9893241958
2025-03-07,1717592.0152631248,1691541.9330505515,1741053.6225615954
2025-03-08,1809280.0673237918,1782010.590321764,1833538.4297014873
2025-03-09,1894003.0640854177,1865300.1639200104,1919171.8978310197
2025-03-10,1970331.7255524178,1940594.7169608776,1996533.1094612065
2025-03-11,2036901.4459839445,2006025.9329002213,2064448.7735065608
2025-03-12,2092441.5958053744,2059968.5349086311,2121003.982242762
2025-03-13,2135803.6633784473,2102243.5244370312,2165444.007067644
2025-03-14,2166031.782012478,2131287.159643848,2196947.4090602715
2025-03-15,2182337.7141841087,2146569.167071203,2214236.4866241263
2025-03-16,2184158.4838466574,2147481.343633277,2217125.2888117796
2025-03-17,2171167.152249069,2133600.303215131,2205199.5020750905
2025-03-18,2143286.4762975494,2104475.4754182193,2178551.764608007
2025-03-19,2100697.6545536956,2060852.9662314067,2137153.8169898344
2025-03-20,2043842.9351466424,2002832.765175774,2081600.1517315262
2025-03-21,1973466.0801652386,1930947.9837435537,2012720.2012142797
2025-03-22,1890553.3472119682,1847094.8538362717,1931164.0346979462
2025-03-23,1796353.8959933012,1751783.8477165918,1838462.120638843
2025-03-24,1692350.9452957786,1646790.3135613573,1735546.1607380887
2025-03-25,1580234.3433465275,1533017.0405394374,1624797.8541930856
2025-03-26,1461867.7524281736,1413430.3039198301,1507275.456848352
2025-03-27,1339250.2647231072,1289590.504085261,1385438.140718881
2025-03-28,1214517.5066497112,1163483.7118888616,1261797.0170933967
2025-03-29,1089845.946727706,1036938.1486523034,1138665.371263378
2025-03-30,967440.3320013434,913148.5955368994,1017287.2105334958
2025-03-31,849476.5296208214,793914.0898875893,900495.7550039988
2025-04-01,738051.2942860534,680986.6339183375,790234.176730324
2025-04-02,635132.9007609193,576759.7326903295,688646.0394283956
2025-04-03,542513.0541813424,483136.7947768377,597472.2515961259
2025-04-04,461805.56866399647,400780.78707210015,517926.4523334974
2025-04-05,394355.7840718848,331742.0468085097,451343.7489637595
2025-04-06,341240.71087363525,277537.6550355894,399536.51736449415
2025-04-07,303232.04818550183,238641.46711316973,363133.1809434848
2025-04-08,280773.26642222924,215273.8085826625,342865.7785624066
2025-04-09,273964.17080068425,207194.75819770154,337838.8836100081
2025-04-10,282552.65115474653,213572.04311395658,347751.01872140815
2025-04-11,305978.23168563587,234885.8124235268,372603.16080006165
2025-04-12,343330.36357842473,270357.5256277468,410786.8362322463
2025-04-13,393400.2975537294,318595.7055227695,462168.1049809232
2025-04-14,454697.4306404625,378174.3390017303,524615.1714447534
2025-04-15,525480.0011188639,447565.7125348477,596444.5278455596
2025-04-16,603792.1974118019,524628.2025906295,675998.534973256
2025-04-17,687506.0381735209,606961.6597408548,761558.7830539275
2025-04-18,774411.3271036334,692595.0295253224,849694.013212675
2025-04-19,862215.388988823,779053.7583450784,938507.5594058322
2025-04-20,948630.2953673857,863667.9185332044,1026473.7823719652
2025-04-21,1031417.4851728918,945352.5129560118,1110598.872015341
2025-04-22,1108438.8337042835,1020266.7404778808,1189096.6894683826
2025-04-23,1177705.6080896524,1088159.0465253978,1260068.1072344922
2025-04-24,1237423.2516958702,1146023.4697828952,1321137.8000510277
2025-04-25,1286075.1134310924,1193056.3078242275,1371660.7826646855
2025-04-26,1322406.8766193073,1227233.4668762656,1410151.7828281692
2025-04-27,1345489.6820582335,1247999.1517287786,1435331.2223334538
2025-04-28,1354732.3707935328,1255480.072493642,1445842.6249927254
2025-04-29,1349892.6436403356,1248642.4185169626,1442490.2224629514
2025-04-30,1331079.526183457,1227851.1876854973,1425130.3849021473
